    91   248  182942.2-031954   18.49508   -3.33178  2.90E-2  3.90E-2    0.09   0.05  11.5  4.5    1.0    0.7    1.3    0.6    0.4    0.9   6.4  starless            
    92   249  182943.0-020039   18.49530   -2.01097  1.80E-2  2.90E-2    0.02   0.01  16.0  2.6    0.6    0.2    0.6    0.3    0.2    0.8  21.2  starless            
    93   260  182947.0-031303   18.49640   -3.21753  3.00E-2  4.00E-2    0.14   0.07  11.5  4.5    3.0    1.0    1.9    1.6    0.6    1.4   4.2  starless            
    94   268  182950.5-021239   18.49736   -2.21089  1.50E-2  2.70E-2    0.06   0.03  11.5  4.5    1.1    1.0    3.1    0.7    0.8    4.4   5.0  starless            
    95   274  182953.8-013706   18.49829   -1.61833  2.00E-2  3.10E-2    0.09   0.04  11.5  4.5    3.0    1.1    2.5    1.8    0.7    2.7   4.6  starless            
    96   279  182956.8-015345   18.49913   -1.89589  1.70E-2  2.80E-2    0.06   0.03  11.5  4.5    8.3    0.8    2.2    5.2    0.7    2.9   6.1  starless            
    97   306  183006.7-021848   18.50187   -2.31333  2.40E-2  3.60E-2    0.06   0.02  14.3  1.2    1.2    0.5    1.1    0.7    0.3    1.0   8.7  starless            
    98   308  183007.1-042726   18.50199   -4.45739  3.60E-2  4.40E-2    0.18   0.09  11.5  4.5    2.2    1.1    1.6    1.1    0.5    1.0   4.0  starless            
    99   310  183009.0-020407   18.50252   -2.06869  1.10E-2  2.40E-2    0.02   0.02  15.1  2.3    1.5    0.5    2.2    1.0    0.5    4.1   9.5  starless            
   100   311  183010.7-015803   18.50297   -1.96758  3.00E-2  3.80E-2    0.09   0.05  11.5  4.5    1.1    0.8    1.2    0.6    0.4    0.9   6.3  starless            
   101   313  183011.5-020047   18.50319   -2.01331  2.50E-2  3.40E-2    0.02   0.04  18.3  6.3    4.8    0.2    0.3    2.7    0.1    0.3  31.2  starless            
   102   314  183011.7-024533   18.50327   -2.75933  2.60E-2  3.60E-2    0.06   0.02  14.5  1.5    1.4    0.5    1.0    0.8    0.3    0.8   9.2  starless            
   103   318  183014.1-014953   18.50394   -1.83142  1.90E-2  3.00E-2    0.06   0.03  13.2  1.1    1.4    0.8    2.0    0.8    0.6    2.3   6.1  starless            
